classname,numberOfVersionsUntil:,numberOfFixesUntil:,numberOfRefactoringsUntil:,numberOfAuthorsUntil:,linesAddedUntil:,maxLinesAddedUntil:,avgLinesAddedUntil:,linesRemovedUntil:,maxLinesRemovedUntil:,avgLinesRemovedUntil:,codeChurnUntil:,maxCodeChurnUntil:,avgCodeChurnUntil:,ageWithRespectTo:,weightedAgeWithRespectTo:,bugs,nonTrivialBugs,majorBugs,criticalBugs,highPriorityBugs 
org::eclipse::jdt::internal::compiler::flow::ConditionalFlowInfo,33,2,0,5,798.0,141.0,241.818,730.0,127.0,221.212,68.0,72.0,206.061,367.0,112.254,0,0,0,0,0
org::eclipse::jdt::internal::core::search::JavaWorkspaceScope,47,7,0,9,502.0,140.0,106.809,300.0,140.0,638.298,202.0,71.0,429.787,367.0,154.785,0,0,0,0,0
org::eclipse::jdt::internal::core::MoveResourceElementsOperation,28,4,0,5,104.0,44.0,371.429,103.0,44.0,367.857,1.0,6.0,0.0357143,367.0,590.316,0,0,0,0,0
org::eclipse::jdt::internal::core::BatchInitializationMonitor,1,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,357.143,0,0,0,0,0,0
org::eclipse::jdt::internal::compiler::util::Util,87,19,0,7,3123.0,378.0,358.966,2127.0,378.0,244.483,996.0,216.0,114.483,363.857,109.912,1,0,0,0,0
org::eclipse::jdt::internal::core::CancelableProblemFactory,7,3,0,4,19.0,7.0,271.429,13.0,5.0,185.714,6.0,6.0,0.857143,191.571,956.842,0,0,0,0,0
org::eclipse::jdt::internal::core::LocalVariable,35,4,0,8,219.0,110.0,625.714,49.0,7.0,1.4,170.0,106.0,485.714,243.857,141.279,1,0,0,0,0
org::eclipse::jdt::internal::compiler::ast::MethodDeclaration,84,8,0,6,857.0,102.0,102.024,680.0,102.0,809.524,177.0,59.0,210.714,367.0,122.828,2,0,0,0,0
org::eclipse::jdt::internal::core::ResolvedBinaryType,8,3,0,3,28.0,7.0,3.5,18.0,5.0,2.25,10.0,6.0,1.25,175.0,341.888,0,0,0,0,0
org::eclipse::jdt::internal::compiler::lookup::InnerEmulationDependency,17,4,0,4,68.0,23.0,4.0,68.0,23.0,4.0,0.0,6.0,0.0,367.0,616.723,0,0,0,0,0
org::eclipse::jdt::internal::core::CreateTypeOperation,41,6,0,7,337.0,105.0,821.951,316.0,105.0,770.732,21.0,15.0,0.512195,367.0,802.128,0,0,0,0,0
org::eclipse::jdt::internal::core::hierarchy::RegionBasedHierarchyBuilder,37,5,0,5,1295.0,285.0,35.0,1325.0,285.0,358.108,-30.0,43.0,-0.810811,367.0,632.596,0,0,0,0,0
org::eclipse::jdt::internal::core::util::PublicScanner,135,24,0,9,5002.0,649.0,370.519,4154.0,634.0,307.704,848.0,269.0,628.148,288.143,967.068,0,0,0,0,0
org::eclipse::jdt::internal::compiler::ast::Block,51,6,0,5,809.0,159.0,158.627,805.0,159.0,157.843,4.0,13.0,0.0784314,367.0,44.356,0,0,0,0,0
org::eclipse::jdt::internal::core::search::matching::MatchLocator,381,27,0,9,19905.0,1343.0,522.441,16702.0,1343.0,438.373,3203.0,240.0,840.682,367.0,768.359,5,0,1,0,0
org::eclipse::jdt::internal::compiler::ast::ExplicitConstructorCall,85,9,0,8,2035.0,315.0,239.412,1862.0,315.0,219.059,173.0,55.0,203.529,367.0,805.213,1,0,0,0,0
org::eclipse::jdt::core::dom::SimpleType,42,14,0,7,365.0,126.0,869.048,218.0,126.0,519.048,147.0,60.0,3.5,333.143,735.362,0,0,0,0,0
org::eclipse::jdt::internal::core::dom::rewrite::ASTRewriteFormatter,34,10,0,8,1053.0,319.0,309.706,473.0,70.0,139.118,580.0,249.0,170.588,220.143,269.399,0,0,0,0,0
org::eclipse::jdt::internal::core::builder::ProblemFactory,12,4,0,5,58.0,31.0,483.333,52.0,31.0,433.333,6.0,5.0,0.5,329.0,402.143,0,0,0,0,0
org::eclipse::jdt::internal::core::ExternalFolderChange,3,0,0,1,9.0,7.0,3.0,35.0,23.0,116.667,-26.0,0.0,-866.667,16.0,173.016,0,0,0,0,0
org::eclipse::jdt::internal::compiler::ClassFilePool,5,2,0,2,22.0,10.0,4.4,28.0,17.0,5.6,-6.0,10.0,-1.2,117.0,555.325,0,0,0,0,0
org::eclipse::jdt::internal::core::hierarchy::HierarchyType,14,4,0,5,129.0,87.0,921.429,156.0,87.0,111.429,-27.0,5.0,-192.857,331.857,446.523,0,0,0,0,0
org::eclipse::jdt::internal::compiler::batch::Main,397,96,1,10,22934.0,2078.0,577.683,19199.0,2001.0,483.602,3735.0,630.0,940.806,367.0,176.29,2,0,0,0,0
org::eclipse::jdt::internal::compiler::ast::CombinedBinaryExpression,4,2,0,3,21.0,19.0,5.25,15.0,13.0,3.75,6.0,6.0,1.5,103.143,692.925,0,0,0,0,0
org::eclipse::jdt::internal::core::util::RuntimeInvisibleAnnotationsAttribute,7,4,0,3,146.0,69.0,208.571,8.0,4.0,114.286,138.0,69.0,197.143,222.857,105.264,0,0,0,0,0
org::eclipse::jdt::internal::antadapter::AntAdapterMessages,7,3,0,3,9.0,5.0,128.571,9.0,5.0,128.571,0.0,0.0,0.0,236.143,636.984,0,0,0,0,0
org::eclipse::jdt::internal::core::search::indexing::SaveIndex,21,4,0,5,65.0,16.0,309.524,77.0,21.0,366.667,-12.0,1.0,-0.571429,288.857,360.571,0,0,0,0,0
org::eclipse::jdt::internal::core::JavaModel,112,11,0,7,1709.0,500.0,152.589,1953.0,593.0,174.375,-244.0,44.0,-217.857,367.0,611.051,1,1,0,0,0
org::eclipse::jdt::internal::compiler::lookup::FieldBinding,71,5,0,10,979.0,202.0,137.887,716.0,210.0,100.845,263.0,50.0,370.423,367.0,132.269,3,0,0,0,0
org::eclipse::jdt::internal::compiler::lookup::ParameterizedFieldBinding,19,2,0,5,201.0,39.0,105.789,99.0,42.0,521.053,102.0,33.0,536.842,224.0,501.599,0,0,0,0,0
org::eclipse::jdt::internal::codeassist::complete::CompletionOnPackageReference,28,4,0,5,139.0,53.0,496.429,136.0,53.0,485.714,3.0,6.0,0.107143,367.0,537.605,0,0,0,0,0
org::eclipse::jdt::internal::codeassist::select::SelectionOnFieldType,12,5,0,4,56.0,27.0,466.667,45.0,27.0,3.75,11.0,10.0,0.916667,334.714,468.112,0,0,0,0,0
org::eclipse::jdt::internal::compiler::lookup::ProblemBinding,16,5,0,4,115.0,55.0,71.875,119.0,55.0,74.375,-4.0,6.0,-0.25,367.0,512.435,0,0,0,0,0
org::eclipse::jdt::internal::core::CreateTypeHierarchyOperation,21,2,0,6,246.0,104.0,117.143,229.0,104.0,109.048,17.0,12.0,0.809524,367.0,552.096,0,0,0,0,0
org::eclipse::jdt::core::search::MethodReferenceMatch,35,6,0,5,386.0,100.0,110.286,214.0,100.0,611.429,172.0,37.0,491.429,227.571,925.426,1,0,0,0,0
org::eclipse::jdt::internal::eval::CodeSnippetQualifiedNameReference,73,9,0,7,2135.0,604.0,292.466,2223.0,604.0,304.521,-88.0,22.0,-120.548,367.0,734.238,2,0,1,0,0
org::eclipse::jdt::internal::codeassist::complete::CompletionJavadocParser,33,5,0,4,617.0,331.0,18.697,324.0,129.0,981.818,293.0,202.0,887.879,140.143,484.719,0,0,0,0,0
org::eclipse::jdt::core::dom::EmptyStatement,30,9,0,7,198.0,77.0,6.6,115.0,77.0,383.333,83.0,36.0,276.667,333.143,723.867,0,0,0,0,0
org::eclipse::jdt::core::dom::SimplePropertyDescriptor,9,5,0,4,12.0,4.0,133.333,11.0,4.0,122.222,1.0,1.0,0.111111,224.857,769.405,0,0,0,0,0
org::eclipse::jdt::internal::core::SourceRange,26,5,0,4,153.0,47.0,588.462,139.0,47.0,534.615,14.0,15.0,0.538462,367.0,653.119,0,0,0,0,0
org::eclipse::jdt::internal::core::BinaryType,183,30,0,9,2680.0,542.0,146.448,1779.0,542.0,972.131,901.0,84.0,49.235,367.0,108.119,1,0,0,0,0
org::eclipse::jdt::core::search::TypeParameterDeclarationMatch,3,1,0,3,5.0,4.0,166.667,5.0,4.0,166.667,0.0,0.0,0.0,177.143,345.714,0,0,0,0,0
org::eclipse::jdt::internal::core::util::LocalVariableTypeAttribute,8,4,0,4,155.0,76.0,19.375,19.0,11.0,2.375,136.0,76.0,17.0,223.571,10.482,0,0,0,0,0
org::eclipse::jdt::core::util::ByteCodeVisitorAdapter,11,4,0,3,234.0,205.0,212.727,29.0,9.0,263.636,205.0,205.0,186.364,322.714,695.672,1,0,0,0,0
org::eclipse::jdt::internal::compiler::ast::ThisReference,44,6,0,6,328.0,72.0,745.455,277.0,72.0,629.545,51.0,34.0,115.909,367.0,68.76,0,0,0,0,0
org::eclipse::jdt::internal::compiler::Compiler,140,26,1,10,7441.0,594.0,53.15,6989.0,594.0,499.214,452.0,111.0,322.857,367.0,556.267,1,0,0,0,0
org::eclipse::jdt::internal::compiler::flow::FlowContext,72,4,0,7,3216.0,448.0,446.667,3112.0,448.0,432.222,104.0,52.0,144.444,367.0,109.796,2,0,0,0,0
org::eclipse::jdt::internal::codeassist::complete::CompletionOnQualifiedNameReference,35,7,0,6,205.0,78.0,585.714,214.0,78.0,611.429,-9.0,6.0,-0.257143,367.0,635.052,0,0,0,0,0
org::eclipse::jdt::internal::core::DeletePackageFragmentRootOperation,21,6,0,5,138.0,55.0,657.143,106.0,37.0,504.762,32.0,18.0,152.381,281.143,485.166,0,0,0,0,0
org::eclipse::jdt::internal::compiler::ast::BreakStatement,13,4,0,5,85.0,60.0,653.846,85.0,65.0,653.846,0.0,3.0,0.0,270.143,133.121,0,0,0,0,0
org::eclipse::jdt::internal::formatter::FormatJavadocBlock,7,3,0,1,122.0,35.0,174.286,44.0,17.0,628.571,78.0,30.0,111.429,914.286,179.742,0,0,0,0,0
org::eclipse::jdt::internal::compiler::classfmt::FieldInfo,66,16,0,8,1809.0,310.0,274.091,1676.0,310.0,253.939,133.0,87.0,201.515,367.0,97.146,0,0,0,0,0
org::eclipse::jdt::internal::codeassist::select::SelectionJavadoc,6,1,0,1,63.0,33.0,10.5,87.0,32.0,14.5,-24.0,1.0,-4.0,169.571,785.714,0,0,0,0,0
org::eclipse::jdt::internal::core::util::LineNumberAttribute,14,4,0,5,59.0,12.0,421.429,70.0,19.0,5.0,-11.0,4.0,-0.785714,322.714,690.678,0,0,0,0,0
org::eclipse::jdt::internal::core::PackageFragmentRootInfo,53,9,0,7,420.0,133.0,792.453,382.0,133.0,720.755,38.0,19.0,0.716981,367.0,880.983,0,0,0,0,0
org::eclipse::jdt::internal::core::dom::rewrite::ASTRewriteFlattener,24,8,0,6,1029.0,316.0,42.875,448.0,159.0,186.667,581.0,290.0,242.083,220.143,151.756,0,0,0,0,0
org::eclipse::jdt::core::dom::ForStatement,45,15,0,7,625.0,230.0,138.889,368.0,230.0,817.778,257.0,104.0,571.111,333.143,71.442,0,0,0,0,0
org::eclipse::jdt::internal::compiler::parser::diagnose::DiagnoseParser,43,7,0,8,888.0,445.0,206.512,427.0,216.0,993.023,461.0,229.0,107.209,262.0,102.345,0,0,0,0,0
org::eclipse::jdt::core::dom::ASTNode,112,26,0,10,5361.0,1562.0,478.661,2652.0,1562.0,236.786,2709.0,746.0,241.875,333.143,72.771,0,0,0,0,0
org::eclipse::jdt::internal::codeassist::InternalCompletionContext,13,3,0,3,130.0,45.0,10.0,21.0,14.0,161.538,109.0,31.0,838.461,169.857,895.549,1,0,0,0,0
org::eclipse::jdt::internal::compiler::ast::IfStatement,78,8,0,7,1025.0,277.0,13.141,1060.0,277.0,135.897,-35.0,64.0,-0.448718,367.0,655.231,0,0,0,0,0
org::eclipse::jdt::core::dom::CharacterLiteral,49,13,0,8,785.0,308.0,160.204,525.0,308.0,107.143,260.0,61.0,530.612,333.143,677.934,1,1,0,0,0
org::eclipse::jdt::internal::compiler::lookup::SignatureWrapper,9,3,0,4,149.0,68.0,165.556,13.0,4.0,144.444,136.0,68.0,151.111,220.857,939.981,0,0,0,0,0
org::eclipse::jdt::internal::compiler::DefaultErrorHandlingPolicies,18,4,0,4,246.0,75.0,136.667,254.0,75.0,141.111,-8.0,9.0,-0.444444,367.0,538.084,0,0,0,0,0
org::eclipse::jdt::internal::core::search::BasicSearchEngine,65,9,0,5,1612.0,232.0,24.8,1119.0,217.0,172.154,493.0,231.0,758.461,178.143,499.435,1,0,1,0,0
org::eclipse::jdt::internal::compiler::batch::FileFinder,31,5,0,4,157.0,48.0,506.452,182.0,48.0,587.097,-25.0,6.0,-0.806452,367.0,793.467,0,0,0,0,0
org::eclipse::jdt::internal::formatter::comment::MultiCommentRegion,7,6,0,1,9.0,4.0,128.571,8.0,4.0,114.286,1.0,1.0,0.142857,168.857,859.841,0,0,0,0,0
org::eclipse::jdt::internal::eval::CodeSnippetCompiler,35,6,0,6,154.0,42.0,4.4,123.0,42.0,351.429,31.0,18.0,0.885714,367.0,841.169,0,0,0,0,0
org::eclipse::jdt::core::dom::Message,11,5,0,6,250.0,134.0,227.273,168.0,134.0,152.727,82.0,64.0,745.455,332.0,218.657,0,0,0,0,0
org::eclipse::jdt::internal::compiler::ast::SingleNameReference,150,10,0,10,4705.0,765.0,313.667,4440.0,746.0,29.6,265.0,43.0,176.667,367.0,155.141,6,0,1,0,0
org::eclipse::jdt::internal::core::Openable,140,8,0,8,2114.0,539.0,15.1,2023.0,539.0,14.45,91.0,206.0,0.65,367.0,727.247,0,0,0,0,0
org::eclipse::jdt::internal::compiler::lookup::ProblemMethodBinding,23,3,0,7,124.0,39.0,53.913,123.0,39.0,534.783,1.0,5.0,0.0434783,367.0,806.912,0,0,0,0,0
org::eclipse::jdt::internal::codeassist::impl::AssistInitializer,1,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,147.143,0,0,0,0,0,0
org::eclipse::jdt::internal::formatter::comment::SingleCommentLine,3,3,0,1,2.0,1.0,0.666667,2.0,1.0,0.666667,0.0,0.0,0.0,168.857,56.0,0,0,0,0,0
org::eclipse::jdt::internal::compiler::codegen::DoubleCache,30,3,0,5,578.0,138.0,192.667,576.0,138.0,19.2,2.0,10.0,0.0666667,367.0,76.868,0,0,0,0,0
org::eclipse::jdt::internal::core::util::LRUCache,36,4,0,5,833.0,498.0,231.389,822.0,498.0,228.333,11.0,30.0,0.305556,367.0,775.493,0,0,0,0,0
org::eclipse::jdt::internal::core::search::matching::DeclarationOfReferencedTypesPattern,33,8,0,7,276.0,150.0,836.364,364.0,150.0,110.303,-88.0,15.0,-266.667,343.0,449.234,1,0,0,0,0
org::eclipse::jdt::internal::compiler::util::SimpleLookupTable,7,3,0,4,22.0,12.0,314.286,11.0,4.0,157.143,11.0,11.0,157.143,193.857,83.013,0,0,0,0,0
org::eclipse::jdt::internal::compiler::lookup::ProblemReferenceBinding,31,5,0,8,216.0,41.0,696.774,171.0,41.0,551.613,45.0,36.0,145.161,367.0,146.976,0,0,0,0,0
org::eclipse::jdt::internal::core::NamedMember,22,6,0,5,368.0,85.0,167.273,101.0,31.0,459.091,267.0,65.0,121.364,205.857,592.092,0,0,0,0,0
org::eclipse::jdt::internal::core::JarPackageFragmentRootInfo,17,6,0,5,91.0,42.0,535.294,104.0,42.0,611.765,-13.0,4.0,-0.764706,367.0,720.581,0,0,0,0,0
org::eclipse::jdt::core::dom::ASTParser,106,35,0,11,4597.0,1604.0,433.679,2447.0,849.0,230.849,2150.0,1604.0,20.283,225.286,170.975,1,0,0,0,0
org::eclipse::jdt::internal::core::SourceMethodInfo,4,3,0,2,6.0,4.0,1.5,6.0,4.0,1.5,0.0,0.0,0.0,184.571,317.143,0,0,0,0,0
org::eclipse::jdt::internal::core::JavaElementInfo,25,5,0,6,443.0,128.0,17.72,511.0,128.0,20.44,-68.0,3.0,-2.72,367.0,587.591,0,0,0,0,0
org::eclipse::jdt::internal::core::dom::rewrite::NodeRewriteEvent,9,4,0,5,31.0,11.0,344.444,31.0,11.0,344.444,0.0,0.0,0.0,220.143,165.392,0,0,0,0,0
org::eclipse::jdt::internal::compiler::ast::AND_AND_Expression,52,5,0,6,1715.0,296.0,329.808,1882.0,323.0,361.923,-167.0,22.0,-321.154,367.0,656.336,0,0,0,0,0
org::eclipse::jdt::internal::core::search::indexing::SourceIndexer,58,6,0,10,317.0,78.0,546.552,334.0,78.0,575.862,-17.0,10.0,-0.293103,367.0,926.327,1,0,0,0,0
org::eclipse::jdt::core::dom::ThisExpression,38,13,0,7,373.0,119.0,981.579,276.0,119.0,726.316,97.0,65.0,255.263,333.143,688.728,0,0,0,0,0
org::eclipse::jdt::internal::core::builder::SourceFile,39,5,0,8,449.0,104.0,115.128,403.0,104.0,103.333,46.0,16.0,117.949,329.0,418.762,0,0,0,0,0
org::eclipse::jdt::core::ElementChangedEvent,30,5,0,4,387.0,121.0,12.9,295.0,121.0,983.333,92.0,71.0,306.667,367.0,101.296,0,0,0,0,0
org::eclipse::jdt::internal::formatter::FormatterCommentParser,13,4,0,1,337.0,78.0,259.231,167.0,45.0,128.462,170.0,50.0,130.769,914.286,199.788,5,0,0,0,0
org::eclipse::jdt::core::dom::StructuralPropertyDescriptor,9,5,0,4,14.0,4.0,155.556,13.0,4.0,144.444,1.0,1.0,0.111111,224.857,677.959,0,0,0,0,0
org::eclipse::jdt::internal::compiler::lookup::BlockScope,143,8,0,10,7111.0,1444.0,497.273,7724.0,1444.0,54.014,-613.0,217.0,-428.671,367.0,741.449,1,0,0,0,0
org::eclipse::jdt::internal::compiler::lookup::LookupEnvironment,156,12,0,11,3401.0,580.0,218.013,2342.0,588.0,150.128,1059.0,222.0,678.846,367.0,152.001,3,0,1,0,0
org::eclipse::jdt::core::dom::BodyDeclaration,40,7,0,7,624.0,92.0,15.6,271.0,89.0,6.775,353.0,74.0,8.825,333.143,963.013,0,0,0,0,0
org::eclipse::jdt::core::dom::ConditionalExpression,36,13,0,7,614.0,220.0,170.556,384.0,220.0,106.667,230.0,86.0,638.889,333.143,717.064,0,0,0,0,0
org::eclipse::jdt::internal::compiler::lookup::LocalVariableBinding,54,5,0,8,621.0,91.0,11.5,459.0,91.0,8.5,162.0,48.0,3.0,367.0,116.731,0,0,0,0,0
org::eclipse::jdt::internal::core::JavaModelOperation,90,7,0,7,2398.0,590.0,266.444,2072.0,590.0,230.222,326.0,91.0,362.222,367.0,697.218,0,0,0,0,0
org::eclipse::jdt::internal::core::CopyResourceElementsOperation,131,20,0,7,2700.0,580.0,206.107,2515.0,580.0,191.985,185.0,42.0,141.221,367.0,791.748,1,0,0,0,0
org::eclipse::jdt::core::dom::VariableDeclarationFragment,43,13,0,8,557.0,190.0,129.535,315.0,190.0,732.558,242.0,100.0,562.791,333.143,766.576,0,0,0,0,0
org::eclipse::jdt::internal::compiler::codegen::CaseLabel,27,6,0,5,287.0,81.0,106.296,280.0,81.0,103.704,7.0,7.0,0.259259,367.0,885.903,0,0,0,0,0
org::eclipse::jdt::internal::core::DeleteElementsOperation,60,8,0,7,653.0,163.0,108.833,626.0,163.0,104.333,27.0,17.0,0.45,367.0,74.995,0,0,0,0,0
org::eclipse::jdt::internal::codeassist::select::SelectionOnMessageSend,43,3,0,6,392.0,71.0,911.628,318.0,71.0,739.535,74.0,52.0,172.093,367.0,612.591,0,0,0,0,0
org::eclipse::jdt::internal::compiler::lookup::PackageBinding,59,7,0,9,588.0,205.0,99.661,594.0,205.0,100.678,-6.0,21.0,-0.101695,367.0,790.481,4,0,3,1,0
org::eclipse::jdt::internal::core::search::TypeNameMatchRequestorWrapper,11,1,0,3,194.0,141.0,176.364,78.0,33.0,709.091,116.0,121.0,105.455,89.0,610.604,0,0,0,0,0
org::eclipse::jdt::core::dom::TagElement,31,8,0,7,508.0,87.0,163.871,85.0,9.0,274.194,423.0,87.0,136.452,229.714,775.506,0,0,0,0,0
org::eclipse::jdt::core::dom::CompilationUnit,120,31,0,12,3335.0,544.0,277.917,2024.0,588.0,168.667,1311.0,125.0,10.925,333.143,131.366,0,0,0,0,0
org::eclipse::jdt::core::dom::ExpressionStatement,38,13,0,7,359.0,135.0,944.737,216.0,135.0,568.421,143.0,58.0,376.316,333.143,714.314,0,0,0,0,0
org::eclipse::jdt::internal::core::search::matching::PossibleMatch,38,3,0,9,161.0,27.0,423.684,138.0,21.0,363.158,23.0,14.0,0.605263,248.143,67.559,0,0,0,0,0
org::eclipse::jdt::internal::compiler::lookup::ArrayBinding,81,7,0,9,796.0,143.0,982.716,565.0,143.0,697.531,231.0,47.0,285.185,367.0,132.518,0,0,0,0,0
org::eclipse::jdt::core::formatter::DefaultCodeFormatterConstants,119,55,0,9,8425.0,2042.0,707.983,2635.0,594.0,221.429,5790.0,2013.0,486.555,246.571,303.109,2,1,0,0,0
org::eclipse::jdt::internal::compiler::ast::JavadocArgumentExpression,37,7,0,8,120.0,16.0,324.324,101.0,29.0,272.973,19.0,9.0,0.513513,239.143,61.5,0,0,0,0,0
org::eclipse::jdt::internal::core::jdom::DOMField,42,6,0,7,1347.0,618.0,320.714,1432.0,637.0,340.952,-85.0,5.0,-202.381,367.0,356.825,0,0,0,0,0
org::eclipse::jdt::internal::compiler::util::HashtableOfObjectToInt,7,2,0,3,64.0,25.0,914.286,49.0,26.0,7.0,15.0,8.0,214.286,184.571,24.154,0,0,0,0,0
org::eclipse::jdt::core::util::ClassFileBytesDisassembler,11,6,0,5,39.0,8.0,354.545,14.0,5.0,127.273,25.0,7.0,227.273,288.143,107.689,0,0,0,0,0
org::eclipse::jdt::internal::codeassist::complete::CompletionParser,244,19,0,8,10254.0,1386.0,420.246,5777.0,1386.0,236.762,4477.0,564.0,183.484,367.0,132.341,1,0,0,0,0
org::eclipse::jdt::internal::core::search::matching::LocalVariableLocator,29,4,0,8,172.0,63.0,593.103,146.0,75.0,503.448,26.0,7.0,0.896552,243.0,227.566,1,0,0,0,0
org::eclipse::jdt::core::dom::PrimitiveType,34,12,0,7,433.0,238.0,127.353,303.0,238.0,891.176,130.0,60.0,382.353,333.143,552.118,0,0,0,0,0
org::eclipse::jdt::internal::compiler::impl::DoubleConstant,37,6,0,6,252.0,66.0,681.081,258.0,66.0,697.297,-6.0,12.0,-0.162162,367.0,455.635,0,0,0,0,0
org::eclipse::jdt::internal::eval::CodeSnippetEnvironment,20,6,0,4,187.0,89.0,9.35,179.0,89.0,8.95,8.0,6.0,0.4,367.0,476.921,0,0,0,0,0
org::eclipse::jdt::internal::core::jdom::DOMNode,38,6,0,7,1976.0,971.0,52.0,2022.0,971.0,532.105,-46.0,10.0,-121.053,367.0,351.962,0,0,0,0,0
org::eclipse::jdt::internal::core::JarEntryResource,2,0,0,1,11.0,11.0,5.5,1.0,1.0,0.5,10.0,10.0,5.0,667.143,0.714286,0,0,0,0,0
org::eclipse::jdt::internal::compiler::ast::LongLiteralMinValue,18,3,0,4,80.0,27.0,444.444,101.0,33.0,561.111,-21.0,6.0,-116.667,367.0,805.321,0,0,0,0,0
org::eclipse::jdt::internal::eval::VariablesEvaluator,46,4,0,6,943.0,310.0,20.5,964.0,310.0,209.565,-21.0,10.0,-0.456522,367.0,343.077,0,0,0,0,0
org::eclipse::jdt::core::dom::FieldAccess,42,14,0,7,539.0,170.0,128.333,289.0,170.0,688.095,250.0,74.0,595.238,333.143,689.268,0,0,0,0,0
org::eclipse::jdt::internal::compiler::batch::ClasspathSourceJar,6,3,0,2,23.0,10.0,383.333,37.0,31.0,616.667,-14.0,6.0,-233.333,113.857,20.323,0,0,0,0,0
org::eclipse::jdt::internal::formatter::BinaryExpressionFragmentBuilder,31,11,0,5,562.0,75.0,18.129,312.0,65.0,100.645,250.0,74.0,806.452,264.857,341.734,0,0,0,0,0
org::eclipse::jdt::internal::core::TypeParameter,16,6,0,6,130.0,22.0,8.125,51.0,20.0,31.875,79.0,22.0,49.375,198.143,502.901,0,0,0,0,0
org::eclipse::jdt::internal::core::util::AnnotationComponentValue,14,3,0,3,443.0,180.0,316.429,51.0,22.0,364.286,392.0,180.0,28.0,222.857,135.824,0,0,0,0,0
org::eclipse::jdt::internal::codeassist::complete::CompletionNodeFound,21,4,0,6,129.0,32.0,614.286,110.0,32.0,52.381,19.0,8.0,0.904762,367.0,100.924,0,0,0,0,0
org::eclipse::jdt::core::dom::Name,24,8,0,6,225.0,77.0,9.375,189.0,77.0,7.875,36.0,47.0,1.5,333.143,665.175,0,0,0,0,0
org::eclipse::jdt::internal::formatter::comment::CommentRange,5,4,0,1,22.0,19.0,4.4,18.0,15.0,3.6,4.0,4.0,0.8,168.857,955.909,0,0,0,0,0
org::eclipse::jdt::internal::compiler::ast::JavadocImplicitTypeReference,16,5,0,4,95.0,42.0,59.375,91.0,22.0,56.875,4.0,21.0,0.25,176.857,107.777,0,0,0,0,0
org::eclipse::jdt::internal::compiler::util::HashSetOfInt,2,1,0,2,1.0,1.0,0.5,1.0,1.0,0.5,0.0,0.0,0.0,227.143,197.143,0,0,0,0,0
org::eclipse::jdt::internal::core::util::MementoTokenizer,9,4,0,5,18.0,4.0,2.0,11.0,4.0,122.222,7.0,4.0,0.777778,217.143,863.968,0,0,0,0,0
org::eclipse::jdt::internal::core::jdom::SimpleDOMBuilder,65,7,0,7,643.0,217.0,989.231,787.0,324.0,121.077,-144.0,13.0,-221.538,367.0,607.758,0,0,0,0,0
org::eclipse::jdt::internal::core::util::DefaultStackMapFrame,4,4,0,1,3.0,1.0,0.75,3.0,1.0,0.75,0.0,0.0,0.0,126.571,740.476,0,0,0,0,0
org::eclipse::jdt::internal::formatter::FormatJavadocNode,5,2,0,1,40.0,19.0,8.0,1.0,1.0,0.2,39.0,18.0,7.8,914.286,137.143,0,0,0,0,0
org::eclipse::jdt::internal::core::search::matching::MatchLocatorParser,109,15,0,8,2519.0,442.0,231.101,1822.0,290.0,167.156,697.0,213.0,63.945,367.0,155.613,0,0,0,0,0
org::eclipse::jdt::core::dom::ParenthesizedExpression,36,13,0,7,351.0,130.0,9.75,208.0,130.0,577.778,143.0,58.0,397.222,333.143,723.289,0,0,0,0,0
org::eclipse::jdt::internal::compiler::AbstractAnnotationProcessorManager,10,5,0,1,85.0,55.0,8.5,13.0,3.0,1.3,72.0,54.0,7.2,787.143,154.303,0,0,0,0,0
org::eclipse::jdt::internal::compiler::lookup::UpdatedMethodBinding,7,3,0,5,11.0,4.0,157.143,8.0,4.0,114.286,3.0,3.0,0.428571,264.857,945.714,1,0,0,0,0
org::eclipse::jdt::core::dom::ArrayAccess,36,13,0,7,482.0,175.0,133.889,288.0,175.0,8.0,194.0,76.0,538.889,333.143,720.033,0,0,0,0,0
org::eclipse::jdt::internal::codeassist::complete::CompletionOnStringLiteral,2,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,135.714,0,0,0,0,0,0
org::eclipse::jdt::internal::core::hierarchy::RegionBasedTypeHierarchy,38,3,0,7,476.0,152.0,125.263,395.0,152.0,103.947,81.0,56.0,213.158,367.0,105.485,0,0,0,0,0
org::eclipse::jdt::internal::core::PackageFragmentRoot,157,13,0,8,2349.0,392.0,149.618,1852.0,392.0,117.962,497.0,295.0,316.561,367.0,944.644,1,0,0,0,0
org::eclipse::jdt::core::util::CompilationUnitSorter,45,17,0,8,1126.0,157.0,250.222,729.0,306.0,16.2,397.0,148.0,882.222,281.714,67.46,0,0,0,0,0
org::eclipse::jdt::internal::compiler::ast::Annotation,78,15,1,7,1262.0,219.0,161.795,1014.0,246.0,13.0,248.0,205.0,317.949,255.714,648.228,1,0,0,0,0
org::eclipse::jdt::internal::compiler::ast::JavadocFieldReference,44,10,0,7,244.0,31.0,554.545,174.0,21.0,395.455,70.0,17.0,159.091,239.143,571.985,1,0,0,0,0
