classname,numberOfVersionsUntil:,numberOfFixesUntil:,numberOfRefactoringsUntil:,numberOfAuthorsUntil:,linesAddedUntil:,maxLinesAddedUntil:,avgLinesAddedUntil:,linesRemovedUntil:,maxLinesRemovedUntil:,avgLinesRemovedUntil:,codeChurnUntil:,maxCodeChurnUntil:,avgCodeChurnUntil:,ageWithRespectTo:,weightedAgeWithRespectTo:,bugs,nonTrivialBugs,majorBugs,criticalBugs,highPriorityBugs
org::eclipse::jdt::internal::core::SetClasspathOperation,181,15,0,8,3880.0,684.0,214.365,3657.0,788.0,202.044,223.0,215.0,123.204,367.0,565.994,1,0,1,1,0
org::eclipse::jdt::internal::core::jdom::DOMCompilationUnit,47,6,0,7,466.0,184.0,991.489,486.0,184.0,103.404,-20.0,8.0,-0.425532,367.0,424.421,0,0,0,0,0
org::eclipse::jdt::internal::core::SetVariablesOperation,8,1,0,2,35.0,27.0,4.375,41.0,18.0,5.125,-6.0,11.0,-0.75,105.0,469.633,0,0,0,0,0
org::eclipse::jdt::core::dom::MarkerAnnotation,23,4,0,5,374.0,98.0,162.609,46.0,12.0,2.0,328.0,98.0,142.609,226.0,381.207,0,0,0,0,0
org::eclipse::jdt::internal::core::search::matching::TypeDeclarationPattern,82,9,0,8,2965.0,334.0,361.585,2913.0,334.0,355.244,52.0,98.0,0.634146,367.0,806.135,1,0,0,0,0
org::eclipse::jdt::internal::codeassist::select::SelectionOnSuperReference,28,4,0,5,170.0,58.0,607.143,168.0,58.0,6.0,2.0,6.0,0.0714286,367.0,678.765,0,0,0,0,0
org::eclipse::jdt::internal::core::JavaModelManager,459,40,0,10,16606.0,1450.0,361.787,11374.0,1450.0,24.78,5232.0,585.0,113.987,367.0,124.65,9,0,2,1,0
org::eclipse::jdt::internal::core::BufferManager,45,7,0,5,662.0,164.0,147.111,802.0,190.0,178.222,-140.0,20.0,-311.111,367.0,553.455,0,0,0,0,0
org::eclipse::jdt::internal::core::search::matching::ClasspathSourceDirectory,26,4,0,8,162.0,25.0,623.077,172.0,59.0,661.538,-10.0,21.0,-0.384615,291.0,112.474,0,0,0,0,0
org::eclipse::jdt::internal::core::search::indexing::AddJarFileToIndex,101,8,0,9,1134.0,223.0,112.277,1072.0,223.0,106.139,62.0,19.0,0.613861,367.0,632.878,1,0,0,0,0
org::eclipse::jdt::core::dom::SingleVariableDeclaration,65,13,0,8,1524.0,259.0,234.462,832.0,259.0,12.8,692.0,196.0,106.462,333.143,894.058,0,0,0,0,0
org::eclipse::jdt::internal::compiler::ast::SuperReference,39,4,0,7,278.0,63.0,712.821,275.0,63.0,705.128,3.0,10.0,0.0769231,367.0,771.454,0,0,0,0,0
org::eclipse::jdt::internal::core::util::ToStringSorter,21,4,0,5,215.0,75.0,102.381,213.0,75.0,101.429,2.0,11.0,0.0952381,367.0,474.591,0,0,0,0,0
org::eclipse::jdt::internal::compiler::ast::DoubleLiteral,25,6,0,4,267.0,71.0,10.68,241.0,71.0,9.64,26.0,28.0,1.04,367.0,107.064,0,0,0,0,0
org::eclipse::jdt::internal::compiler::util::HashtableOfIntValues,7,2,0,5,47.0,20.0,671.429,47.0,15.0,671.429,0.0,8.0,0.0,231.571,596.231,0,0,0,0,0
org::eclipse::jdt::internal::compiler::classfmt::FieldInfoWithAnnotation,4,1,0,3,127.0,70.0,31.75,1.0,1.0,0.25,126.0,70.0,31.5,158.714,147.795,0,0,0,0,0
org::eclipse::jdt::internal::compiler::ast::Clinit,73,13,0,7,2740.0,254.0,375.342,2537.0,254.0,347.534,203.0,57.0,278.082,367.0,373.137,2,0,0,0,0
org::eclipse::jdt::internal::codeassist::complete::CompletionOnKeyword2,14,4,0,6,25.0,4.0,178.571,18.0,4.0,128.571,7.0,3.0,0.5,282.0,921.657,0,0,0,0,0
org::eclipse::jdt::core::compiler::CompilationProgress,1,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,125.714,0,0,0,0,0,0
org::eclipse::jdt::internal::core::dom::rewrite::ImportRewriteAnalyzer,11,0,0,1,150.0,48.0,136.364,156.0,40.0,141.818,-6.0,21.0,-0.545455,133.143,275.962,1,0,0,0,0
org::eclipse::jdt::internal::compiler::lookup::SyntheticMethodBinding,26,6,0,5,243.0,56.0,934.615,99.0,14.0,380.769,144.0,55.0,553.846,190.714,540.406,2,0,0,0,0
org::eclipse::jdt::internal::core::dom::rewrite::NodeInfoStore,14,4,0,8,115.0,48.0,821.429,405.0,196.0,289.286,-290.0,4.0,-207.143,220.143,123.304,0,0,0,0,0
org::eclipse::jdt::core::dom::QualifiedName,50,16,0,7,520.0,174.0,10.4,307.0,174.0,6.14,213.0,75.0,4.26,333.143,72.406,0,0,0,0,0
org::eclipse::jdt::core::dom::SuperConstructorInvocation,40,11,0,7,654.0,164.0,16.35,324.0,164.0,8.1,330.0,77.0,8.25,333.143,840.767,0,0,0,0,0
org::eclipse::jdt::core::ClasspathVariableInitializer,14,4,0,4,55.0,13.0,392.857,29.0,5.0,207.143,26.0,9.0,185.714,328.571,366.545,0,0,0,0,0
org::eclipse::jdt::internal::core::ClassFile,165,15,0,8,2290.0,594.0,138.788,1878.0,594.0,113.818,412.0,70.0,249.697,367.0,88.614,0,0,0,0,0
org::eclipse::jdt::internal::compiler::util::HashtableOfLong,9,4,0,6,27.0,15.0,3.0,18.0,6.0,2.0,9.0,9.0,1.0,281.571,121.439,0,0,0,0,0
org::eclipse::jdt::internal::compiler::codegen::BranchLabel,17,11,0,2,196.0,93.0,115.294,126.0,48.0,741.176,70.0,60.0,411.765,124.0,139.424,1,0,0,0,0
org::eclipse::jdt::internal::core::util::LocalVariableTypeTableEntry,6,3,0,3,226.0,110.0,376.667,6.0,4.0,1.0,220.0,110.0,366.667,223.571,100.822,0,0,0,0,0
org::eclipse::jdt::internal::compiler::lookup::AnnotationHolder,4,2,0,2,5.0,3.0,1.25,5.0,3.0,1.25,0.0,0.0,0.0,127.0,555.714,0,0,0,0,0
org::eclipse::jdt::internal::compiler::ast::CompoundAssignment,75,6,0,9,912.0,141.0,12.16,887.0,141.0,118.267,25.0,20.0,0.333333,367.0,701.057,0,0,0,0,0
org::eclipse::jdt::core::search::TypeParameterReferenceMatch,3,1,0,3,5.0,4.0,166.667,5.0,4.0,166.667,0.0,0.0,0.0,177.143,345.714,0,0,0,0,0
org::eclipse::jdt::internal::core::ClasspathAccessRule,7,2,0,3,27.0,10.0,385.714,26.0,9.0,371.429,1.0,1.0,0.142857,169.143,143.651,0,0,0,0,0
org::eclipse::jdt::internal::core::CompilationUnit,291,15,0,11,4847.0,924.0,166.564,4041.0,924.0,138.866,806.0,406.0,276.976,367.0,966.624,1,0,1,0,0
org::eclipse::jdt::internal::core::search::matching::SuperTypeNamesCollector,72,9,0,9,1300.0,434.0,180.556,1296.0,434.0,18.0,4.0,128.0,0.0555556,346.571,538.768,0,0,0,0,0
org::eclipse::jdt::internal::core::DocumentAdapter,2,1,0,2,4.0,4.0,2.0,4.0,4.0,2.0,0.0,0.0,0.0,177.714,485.714,0,0,0,0,0
org::eclipse::jdt::internal::compiler::lookup::MethodVerifier,131,7,0,10,3730.0,879.0,284.733,3780.0,893.0,28.855,-50.0,61.0,-0.381679,367.0,119.775,3,1,1,0,0
org::eclipse::jdt::internal::core::jdom::DOMInitializer,39,5,0,7,539.0,229.0,138.205,570.0,229.0,146.154,-31.0,5.0,-0.794872,367.0,407.016,0,0,0,0,0
org::eclipse::jdt::internal::codeassist::complete::CompletionOnJavadocTypeParamReference,6,0,0,2,12.0,9.0,2.0,3.0,1.0,0.5,9.0,9.0,1.5,140.143,272.619,0,0,0,0,0
org::eclipse::jdt::internal::codeassist::complete::CompletionOnQualifiedTypeReference,35,5,0,7,254.0,66.0,725.714,180.0,66.0,514.286,74.0,33.0,211.429,367.0,112.943,0,0,0,0,0
org::eclipse::jdt::internal::compiler::ast::SingleMemberAnnotation,20,8,1,6,203.0,69.0,10.15,64.0,15.0,3.2,139.0,69.0,6.95,222.714,254.849,0,0,0,0,0
org::eclipse::jdt::internal::core::util::BindingKeyResolver,56,5,0,5,674.0,145.0,120.357,302.0,46.0,539.286,372.0,115.0,664.286,175.714,433.241,0,0,0,0,0
org::eclipse::jdt::internal::compiler::ast::CharLiteral,26,5,0,4,226.0,101.0,869.231,232.0,101.0,892.308,-6.0,6.0,-0.230769,367.0,54.665,0,0,0,0,0
org::eclipse::jdt::internal::codeassist::impl::AssistParser,113,15,0,8,3649.0,1009.0,32.292,2677.0,1009.0,236.903,972.0,271.0,860.177,367.0,853.402,0,0,0,0,0
org::eclipse::jdt::internal::core::ImportDeclaration,48,4,0,7,261.0,67.0,54.375,217.0,67.0,452.083,44.0,10.0,0.916667,367.0,712.041,0,0,0,0,0
org::eclipse::jdt::internal::core::jdom::SiblingEnumeration,17,4,0,6,111.0,54.0,652.941,105.0,54.0,617.647,6.0,6.0,0.352941,367.0,654.633,0,0,0,0,0
org::eclipse::jdt::internal::codeassist::complete::CompletionOnSingleNameReference,30,5,0,6,140.0,47.0,466.667,112.0,47.0,373.333,28.0,7.0,0.933333,367.0,875.214,0,0,0,0,0
org::eclipse::jdt::internal::core::Initializer,48,4,0,8,344.0,95.0,716.667,318.0,95.0,6.625,26.0,12.0,0.541667,367.0,527.965,0,0,0,0,0
org::eclipse::jdt::core::dom::rewrite::ASTRewrite,47,8,0,10,699.0,97.0,148.723,324.0,49.0,689.362,375.0,68.0,797.872,220.143,544.605,1,0,0,0,0
org::eclipse::jdt::internal::core::search::indexing::RemoveFromIndex,47,4,0,6,287.0,72.0,610.638,313.0,72.0,665.957,-26.0,6.0,-0.553191,367.0,490.383,0,0,0,0,0
org::eclipse::jdt::internal::compiler::ast::NameReference,25,4,0,5,184.0,63.0,7.36,181.0,63.0,7.24,3.0,6.0,0.12,367.0,646.483,0,0,0,0,0
org::eclipse::jdt::core::dom::EnumConstantDeclaration,39,10,0,7,984.0,257.0,252.308,197.0,49.0,505.128,787.0,257.0,201.795,239.571,163.291,0,0,0,0,0
org::eclipse::jdt::internal::core::search::matching::FieldLocator,68,6,0,9,503.0,47.0,739.706,439.0,56.0,645.588,64.0,40.0,0.941176,248.571,559.912,1,0,0,0,0
org::eclipse::jdt::internal::core::SourceField,61,11,0,7,450.0,77.0,737.705,285.0,77.0,467.213,165.0,35.0,270.492,367.0,110.808,0,0,0,0,0
org::eclipse::jdt::core::dom::DefaultBindingResolver,189,86,0,12,6311.0,991.0,333.915,4457.0,991.0,23.582,1854.0,123.0,980.952,333.143,100.199,1,0,0,0,0
org::eclipse::jdt::internal::compiler::parser::RecoveredLocalVariable,34,5,0,5,287.0,92.0,844.118,221.0,92.0,6.5,66.0,54.0,194.118,367.0,107.619,0,0,0,0,0
org::eclipse::jdt::internal::codeassist::select::SelectionOnParameterizedSingleTypeReference,4,3,0,2,6.0,4.0,1.5,6.0,4.0,1.5,0.0,0.0,0.0,185.571,326.905,0,0,0,0,0
org::eclipse::jdt::internal::formatter::comment::JavaDocLine,3,3,0,1,2.0,1.0,0.666667,2.0,1.0,0.666667,0.0,0.0,0.0,168.857,56.0,0,0,0,0,0
org::eclipse::jdt::internal::codeassist::complete::CompletionOnBrankStatementLabel,4,2,0,3,11.0,10.0,2.75,1.0,1.0,0.25,10.0,10.0,2.5,136.143,207.013,0,0,0,0,0
org::eclipse::jdt::core::dom::QualifiedType,35,7,0,6,667.0,198.0,190.571,99.0,12.0,282.857,568.0,198.0,162.286,239.571,128.297,0,0,0,0,0
org::eclipse::jdt::internal::core::ReconcileWorkingCopyOperation,71,5,0,9,863.0,149.0,121.549,560.0,84.0,788.732,303.0,96.0,426.761,278.857,137.885,0,0,0,0,0
org::eclipse::jdt::internal::core::builder::CompilationParticipantResult,7,1,0,5,28.0,15.0,4.0,72.0,68.0,102.857,-44.0,15.0,-628.571,132.143,737.755,0,0,0,0,0
org::eclipse::jdt::core::compiler::CompilationParticipant,19,2,0,5,242.0,65.0,127.368,199.0,108.0,104.737,43.0,45.0,226.316,136.571,12.768,1,0,0,0,0
org::eclipse::jdt::internal::compiler::lookup::MethodBinding,143,8,0,9,2802.0,441.0,195.944,1959.0,443.0,136.993,843.0,136.0,58.951,367.0,144.063,3,0,0,0,0
org::eclipse::jdt::internal::core::hierarchy::HierarchyResolver,113,11,0,8,2134.0,553.0,18.885,1731.0,553.0,153.186,403.0,93.0,356.637,331.857,102.769,0,0,0,0,0
org::eclipse::jdt::internal::compiler::ast::ParameterizedSingleTypeReference,72,7,0,9,921.0,208.0,127.917,394.0,80.0,547.222,527.0,208.0,731.944,223.571,533.802,1,0,0,0,0
org::eclipse::jdt::internal::codeassist::complete::CompletionOnJavadocMessageSend,4,0,0,1,25.0,16.0,6.25,2.0,2.0,0.5,23.0,14.0,5.75,140.143,184.571,0,0,0,0,0
org::eclipse::jdt::internal::core::search::indexing::AddFolderToIndex,33,3,0,7,160.0,35.0,484.848,114.0,18.0,345.455,46.0,17.0,139.394,282.0,544.366,0,0,0,0,0
org::eclipse::jdt::internal::core::BasicCompilationUnit,44,3,0,7,402.0,70.0,913.636,309.0,70.0,702.273,93.0,51.0,211.364,367.0,824.879,0,0,0,0,0
org::eclipse::jdt::internal::compiler::lookup::BinaryTypeBinding,178,13,0,11,3899.0,491.0,219.045,2892.0,491.0,162.472,1007.0,220.0,56.573,367.0,137.097,1,0,1,0,0
org::eclipse::jdt::internal::compiler::lookup::RawTypeBinding,67,4,0,7,756.0,160.0,112.836,381.0,73.0,568.657,375.0,160.0,559.701,222.143,334.348,0,0,0,0,0
org::eclipse::jdt::internal::core::SortElementsOperation,50,17,0,7,784.0,172.0,15.68,448.0,100.0,8.96,336.0,141.0,6.72,281.857,107.182,0,0,0,0,0
org::eclipse::jdt::internal::compiler::lookup::CompilationUnitScope,149,9,0,10,2389.0,507.0,160.336,1947.0,507.0,130.671,442.0,152.0,296.644,367.0,960.364,4,0,0,0,0
org::eclipse::jdt::core::search::FieldDeclarationMatch,18,3,0,4,106.0,23.0,588.889,26.0,6.0,144.444,80.0,23.0,444.444,227.571,922.237,0,0,0,0,0
org::eclipse::jdt::core::jdom::DOMException,22,4,0,5,105.0,32.0,477.273,88.0,32.0,4.0,17.0,11.0,0.772727,367.0,646.762,0,0,0,0,0
org::eclipse::jdt::internal::compiler::flow::UnconditionalFlowInfo,71,5,0,7,4282.0,1609.0,603.099,3119.0,728.0,439.296,1163.0,894.0,163.803,367.0,173.635,0,0,0,0,0
org::eclipse::jdt::internal::core::util::ConstantValueAttribute,15,4,0,5,35.0,9.0,233.333,51.0,9.0,3.4,-16.0,0.0,-106.667,322.714,602.939,0,0,0,0,0
org::eclipse::jdt::internal::codeassist::complete::CompletionOnClassLiteralAccess,28,4,0,4,168.0,59.0,6.0,159.0,59.0,567.857,9.0,6.0,0.321429,367.0,527.798,0,0,0,0,0
org::eclipse::jdt::internal::compiler::batch::FileSystem,65,19,0,7,1096.0,168.0,168.615,858.0,168.0,13.2,238.0,43.0,366.154,367.0,134.997,0,0,0,0,0
org::eclipse::jdt::internal::compiler::problem::ShouldNotImplement,19,4,0,4,81.0,25.0,426.316,76.0,25.0,4.0,5.0,11.0,0.263158,367.0,607.372,0,0,0,0,0
org::eclipse::jdt::internal::codeassist::complete::CompletionScanner,86,14,0,8,2498.0,707.0,290.465,2331.0,707.0,271.046,167.0,129.0,194.186,367.0,104.837,0,0,0,0,0
org::eclipse::jdt::internal::compiler::ast::NumberLiteral,18,4,0,4,124.0,32.0,688.889,125.0,32.0,694.444,-1.0,5.0,-0.0555556,367.0,695.184,0,0,0,0,0
org::eclipse::jdt::internal::eval::CodeSnippetScope,64,8,0,10,1977.0,763.0,308.906,2315.0,879.0,361.719,-338.0,20.0,-528.125,367.0,561.353,2,0,0,0,0
org::eclipse::jdt::internal::codeassist::select::SelectionOnImportReference,26,4,0,4,136.0,52.0,523.077,136.0,52.0,523.077,0.0,6.0,0.0,367.0,480.872,0,0,0,0,0
org::eclipse::jdt::internal::compiler::codegen::Label,58,14,0,6,1017.0,246.0,175.345,1267.0,281.0,218.448,-250.0,45.0,-431.034,367.0,111.411,0,0,0,0,0
org::eclipse::jdt::internal::compiler::ast::JavadocQualifiedTypeReference,35,5,0,9,322.0,48.0,9.2,156.0,31.0,445.714,166.0,47.0,474.286,239.143,586.792,0,0,0,0,0
org::eclipse::jdt::internal::core::search::matching::JavaSearchPattern,34,5,0,7,690.0,119.0,202.941,319.0,84.0,938.235,371.0,89.0,109.118,216.0,907.422,1,0,0,0,0
org::eclipse::jdt::core::dom::RecoveredVariableBinding,3,3,0,1,32.0,27.0,106.667,3.0,2.0,1.0,29.0,26.0,966.667,657.143,495.536,0,0,0,0,0
org::eclipse::jdt::core::CompletionProposal,51,8,0,10,2071.0,317.0,406.078,224.0,30.0,439.216,1847.0,315.0,362.157,219.857,807.057,1,0,0,0,0
